description,title,speaker,time,location,company,category,keywords
"Skills, hiring and upskilling in a GenAI boom

We’re excited to welcome Prof. Dr. Dr. Per Almqvist as a speaker at TechHeads 2026. Per is a Professor of Software Engineering at Blekinge Institute of Technology and a senior guest researcher at Fortiss (Germany). With extensive industry experience as a CTO, consultant, engineer, chief architect, and product manager, he bridges cutting-edge research with the realities of building software-intensive products and services.

In his session, Per will share his perspective on the future skills landscape for engineers. What changes when GenAI becomes part of everyday engineering? What are the biggest challenges and blind spots for companies and education, and what practical steps can we take to avoid falling behind?",The future engineer in the age of AI,Per Almqvist,09:00-10:00,Gröna salen,Polytekniska Institutet,The Big Picture,"AI, Upskilling, Leadership, Business, Why"
"As generative AI reshapes everyday engineering, how do organizations ensure their workforce doesn't fall behind? In this panel, industry experts and talent leaders discuss the realities of the future skills landscape. What happens when AI becomes a standard workflow rather than an experiment? How do we identify the biggest blind spots in hiring and people management, and what practical steps are required to upskill teams at scale? Join Per Almqvist (Polytekniska Institutet), Håkan Bergvall (Nordcom), Ingrid Salomonsson (Snabbud), and Oskar Hedmark (Källcykeln) as they explore how to build and future-proof the next generation of tech talent.",The Skills of Tomorrow: Upskilling in a GenAI Boom,"Per Almqvist - Polytekniska Institutet, Håkan Bergvall - Nordcom, Ingrid Salomonsson - Snabbud, Oskar Hedmark, Källcykeln (kolla stavningen) Moderator: Nora Wiklund",10:00-10:30,Gröna salen,,The Big Picture,"AI, Upskilling, Leadership, Why"
"A Live Energy Experiment from Teknikklustret

Most organizations do not lack technology, they lack a way to start when complexity takes over.

At Tech Heads 2026, Erik Lindahl shares a practical approach tested in real environments, from an advanced energy hub in Lilla Älghult to a live experiment at Sweden Rock Festival. Expect real data, real constraints, and step-by-step learning that turns complexity into progress.

If you work with energy, infrastructure, or complex operations, this is a session you do not want to miss.",Sweden Rock as an Energy Lab,Erik Lindahl,11:00-11:15,Borgstugan,Aura Energi,Smart Cities,"Energy, IoT, Resilience, Case Study, How"
"Connecting healthcare, academia and industry.

We're excited to welcome Sara Bjelke as a speaker at Techheads 2026. Sara is an Associate Professor in Health Informatics and Managing Director of the eHealth Institute at Linnaeus University. Her research focuses on how health data, AI and digital technologies can improve healthcare, with a particular focus on medication safety.

In this session, Sara will explore the opportunities of using health data and AI in healthcare, with examples from current research and an overview of the health data landscape. She'll introduce Health Data Sweden (HDS), a national ecosystem connecting leading actors across Sweden to support SMEs and the public sector in making better use of health data. A key focus will be on collaboration: how academia, healthcare and the tech sector can combine their strengths to drive innovation and address major challenges facing healthcare today.",FROM HEALTH DATA TO INNOVATION,Sara Bjelke,11:00-11:30,Sturesalen,Storviks universitet,Smart Cities,"eHealth, Public Sector, Business, Leadership"
"What defines the organizations that succeed with AI.

We're excited to welcome Rikard Grenholm as a speaker at Techheads 2026. Rikard is Concept Manager at Nordbit, one of Northern Europe's leading IT infrastructure companies, with deep expertise in AI maturity assessments and organizational AI readiness.

In this session, Rikard will draw on insights from AI maturity assessments across organizations and the latest global AI reports to show what successful leadership teams do differently. He'll explain how they create direction, governance, and long-term AI capability that delivers real business value – and what truly defines the organizations that succeed with AI.",AI as a force for the future,Rikard Grenholm,11:00-11:30,Sven Månsson,Nordbit,Data & Business Strategy,"AI, Leadership, Business, Why, How"
"Beyond automation and augmentation

Viktor Sandell is a Creative Technologist in the Intelligence Age and Course Director of Speculative Design at Berghs School of communication. At Techheads, he will cover More Than Human organizations and introduce a third path for AI transformation: ensembling, where human and non-human knowledge workers co-produce outcomes without being confined to separate lanes.",A new operating system for knowledge work,Viktor Sandell,11:00-11:45,Gröna salen,,The Big Picture,"AI, Future Tech, Leadership, Why"
"Proactive cybersecurity and hands-on hacking.

We’re thrilled to welcome the experts from Utposten24 to the stage at TechHeads 2026. In an era where cyberattacks are no longer a question of ""if"" but ""when,"" Utposten24 specializes in finding your vulnerabilities before the bad guys do. They help organizations move from reactive panic to proactive control by mastering the art of Exposure Management.

In this high-stakes session, you’ll witness a Live Hack in real-time. You’ll see exactly how an attacker identifies an entry point, escalates privileges, and takes control of a system. But we don’t stop at watching—after the keynote, you’re invited to the Green Room. There, you’ll get hands-on experience at our hacking station, where you can test your own skills and try to breach a controlled environment under expert guidance. Whether you're a developer, a CISO, or just curious about the dark side of the web, this session will give you the tools to understand the threat and the strategy to defend against it.",Live hack - see the world through the eyes of an attacker,Rasmus Ljunggren,11:00-12:30,Källaren,Utposten,Security & Resilience,"Cybersecurity, Resilience, Hands-on, How"
,Modern Guru and the Path to Artificial Happiness,,11:00-11:45,,,,
"Building a resilient, future-proof power distribution network.

We're excited to welcome Elsa Norrman as a speaker at Techheads 2026. Elsa is an Technical investigation engineer at Ljusnet Energi.

Electric grids are undergoing rapid transformation, with an increasing share of renewable generation, more connected devices, and higher demands for real-time information and automation. In this presentation, Elsa will explore how a Distribution Management System (DMS) can support a more efficient, resilient, and digitalized power distribution network. She'll look at concrete functionalities such as real-time situational awareness, outage management, and automated fault location, and their impact on operations, quality, and ways of working. Ultimately, this is not just about efficiency and digitalization: it is equally about how we build a secure and future-proof power grid.",Digitalizing and securing the modern power grid,Elsa Norrman,11:15-11:30,Borgstugan,Ljusnet Energi,Smart Cities,"Energy, Platforms, Resilience, Case Study, How"
"Real-time optimisation for the infrastructure you never think about.

We're excited to welcome Isak Ekholm and Filip Stenmark from Prisma as speakers at Techheads 2026. Prisma is a Malmö-based company building real-time optimisation for district heating networks, the vast thermal systems that heat much of Sweden and Denmark but are still run on static schedules and gut feeling.

In this session, Isak and Filip will show what it takes to put AI in control of physical infrastructure. Combining demand forecasting, a digital twin, and real-time optimisation, they shift production in time, ride through peaks, and cut cost and emissions without compromising delivery. You'll see why physics rules out brute-force approaches, where the value actually comes from, and what it takes to move from research to the real world.",How AI can run the pipes that keep cities warm.,Isak Ekholm and Filip Stenmark,11:30-11:45,Borgstugan,Prisma,Smart Cities,"AI, Energy, IoT, Case Study, How"
